 316  1981AJ.....86..871H Hutchings et al.                    
 317  1982PASP...94..541H Hutchings et al.                    
 318  1983ApJ...275L..43H Hutchings et al.                    
 319  1984PASP...96..312H Hutchings et al.                    
 320  1985PASP...97..418H Hutchings et al.                    
 321  1987PASP...99..420H Hutchings et al.                    
 322  1987AJ.....94..340H Hutchings et al.                    
 323  1998IAUC.6871Q...1A Hynes et al.                        
 324  1979A&A....71L..17I Ilovaisky et al.                    
 325  1982A&A...114L...7I Ilovaisky et al.                    
 326  1984A&A...140..251I Ilovaisky et al.                    
 327  1998IAUC.7040R...1I Imanishi et al.                     
 327a 2000A&A...361...85I in't Zand et al.                    
 328  1990A&A...239..221I Iping & Petterson                   
 329  1997ApJ...474L..53I Israel et al.                       
 330  1997ApJ...484L.141I Israel et al.                       
 331  1998MNRAS.298..502I Israel et al.                       
 332  1999IAUC.7101Q...1I Israel et al.                       
 333  1999A&A...345L...1I Israel et al.                       
 334  2000ApJ...531L.131I Israel et al.                       
 334a 2000MNRAS.314...87I Israel et al.                       
 335  1975A&AS...19..259I Isserstedt                          
 336  1975Natur.254..578I Ives et al.                         
 337  1986PASJ...38..463I Iye                                 
 338  1985PASP...97.1186I Iye & Kodaiza                       
 339  1981A&A....99..274J Janot-Pacheco et al.                
 340  1982IAUS...98..151J Janot-Pacheco et al.                
 341  1987A&A...177...91J Janot-Pacheco et al.                
 342  1988A&A...202...81J Janot-Pacheco et al.                
 343  1989MNRAS.238.1085J Jarad et al.                        
 344  1963PASP...75..365J Jaschek & Jaschek                   
 345  1978IAUC.3171....1J Johns et al.                        
 346  1986ApJ...309..707J Johnston et al.                     
 347  1978ApJ...223L..71J Johnston et al.                     
 348  1979ApJ...230L..11J Johnston et al.                     
 349  1979ApJ...233..514J Johnston et al.                     
 350  1980Natur.285...26J Johnston et al.                     
 350a 1992MNRAS.255..401J Johnston et al.                     
 350b 1992ApJ...387L..37J Johnston et al.                     
 350c 1994MNRAS.268..430J Johnston et al.                     
 351  1973ApJ...181L..43J Jones et al.                        
 352  1999ApJ...523..197K Kaaret et al.                       
 353  2000A&A...354..999K Kahabka                             
 354  1996A&A...312..919K Kahabka & Pietsch                   
 355  1998IAUC.6840Q...1K Kahabka & Pietsch                   
 356  1999A&AS..136...81K Kahabka et al.                      
 357  1987ApJ...317..746K Kallman et al.                      
 358  1990PASJ...42..785K Kamata et al.                       
 359  1990Natur.347..652K Kaper et al.                        
 360  1995A&A...300..446K Kaper et al.                        
 361  1997ApJ...475L..37K Kaper et al.                        
 361a 1995ApJ...453..424K Kaspi et al.                        
 362  1984AJ.....89.1604K Katz et al.                         
 363  1989PASJ...41..491K Kawai et al.                        
 364  1981ApJ...243..251K Kelley et al.                       
 365  1983ApJ...264..568K Kelley et al.                       
 366  1983ApJ...268..790K Kelley et al.                       
 367  1983ApJ...274..765K Kelley et al.                       
 368  1983ApJ...271L..65K Kemp et al.                         
 369  1986ApJ...305..805K Kemp et al.                         
 370  1987AZh....64..326K Kemp et al.                         
 371                      Kendziorra et al.                   1992, Proc. 28th Yamada Conf. "Frontiers in X-ray Astronomy", p. 51.
 372  1994A&A...291L..31K Kendziorra et al.                   
 373  1986AZh....63..494K Khruzina & Cherepashchuk            
 374  1986AZh....63..711K Khruzina & Cherepashchuk            
 375  1987AZh....64..345K Khruzina & Cherepashchuk            
 376  1998ApJ...495..435K Kinugaso et al.                     
 377  1987PASJ...39..259K Kitamoto et al.                     
 378  1989PASJ...41...81K Kitamoto et al.                     
 379  1990PASJ...42...85K Kitamoto et al.                     
 380  1992ApJ...384..263K Kitamoto et al.                     
 381  1985PASJ...37...97K Kodaira et al.                      
 382  1985ApJ...296..232K Kodaira et al.                      
 383  1997ApJ...479..933K Koh et al.                          
 384  1997A&A...327L..33K Konig & Maisack                     
 385  1986AZh....63..690K Kopylov et al.                      
 386  1987AZh....64..785K Kopylov et al.                      
 387  1992IAUC.5592....1K Kouveliotou et al.                  
 388  1990Natur.343..148K Koyama et al.                       
 389  1990ApJ...356L..47K Koyama et al.                       
 390  1990PASJ...42L..59K Koyama et al.                       
 391  1991ApJ...366L..19K Koyama et al.                       
 392  1991ApJ...370L..77K Koyama et al.                       
 393  1983ApJ...266..806K Kriss et al.                        
 394  1974ApJ...192L.135K Krzeminsky et al.                   
 395  1988A&A...203...79K Kuiper et al.                       
 396  1995PASJ...47..589K Kunjaya & Hirata                    
 397  1980ApJ...239..651L Lamb et al.                         
 398  1983Natur.305...37L Lamb et al.                         
 399  1999IAUC.7081Q...1O Lamb et al.                         
 400  1981ApJ...246L..21L Lang et al.                         
 401  1992PAZh...18...30L Lapshov et al.                      
 402  1992MNRAS.256p..39L Leahy & Ananth                      
 403  1990ApJ...355..627L Leahy & Matsoka                     
 404  1988PASJ...40..197L Leahy et al.                        
 405  1989MNRAS.237..269L Leahy et al.                        
 406  1984MNRAS.210..279L Leibowitz                           
 407  1982PASP...94..977L Leibowitz & Mendelson               
 408  1984MNRAS.206..751L Leibowitz et al.                    
 409  1984Natur.307..341L Leibowitz et al.                    
 410  1988NASAR1202....1L Leisawitz                           
 411  1991ApJ...381..101L Levine et al.                       
 412  1993ApJ...410..328L Levine et al.                       
 413  1978Natur.271...37L Li et al.                           
 414  1979ApJ...228..893L Li et al.                           
 415  1997A&A...321L..25L Li & van den Heuvel                 
 416  1999ApJ...513L..45L Li & van den Heuvel                 
 417  1973ApJ...184L..37L Liller                              
 418  1983ApJ...275..307L Ling et al.                         
 419  1987ApJ...321L.117L Ling et al.                         
 420  1997ApJ...484..375L Ling et al.                         
 421  1999A&A...350..855L Liu & Hang                          
 422  2000Ap+SS.accepted. Liu & Hang                          2000, ApSS, accepted.
 423  2000A&A...359..646L Liu et al.                          
 424  1998IAUC.6858Q...1W Lochner                             
 425  1998IAUC.7007Q...1R Lochner                             
 426  1989ApJ...337..823L Lochner et al.                      
 427  1991ApJ...376..295L Lochner et al.                      
 428  1998IAUC.6814Q...1L Lochner et al.                      
 429  1999AAS...194.5218L Lochner et al.                      
 430  1981ApJ...248..925L Long et al.                         
 431  1974ApJS...28...73L Lucke                               
 432  1992ApJS...78..423L Lum et al.                          
 433  1992IAUC.5448....1L Lund et al.                         
 434  1997MNRAS.286..549L Lyubimkov et al.                    
 435  1985AZh....62..731L Lyutyi                              
 436  1989PAZh...15..421L Lyutyi et al.                       
 437  1982A&AS...48..355M MacConnell                          
 438  1983VatOP...2...63M MacConnell & Coyne                  
 439  1999ApJ...518L..99M Macomb et al.                       
 440  1990IAUC.5148....1F Makino et al.                       
 441  1984PASJ...36..679M Makishima et al.                    
 442  1987ApJ...314..619M Makishima et al.                    
 443  1990ApJ...365L..59M Makishima et al.                    
 444  1990PASJ...42..295M Makishima et al.                    
 445  1981ApJ...248.1010M Maraschi et al.                     
 446                      Margon                              1980, Ann. NY Ac. Sci. 336, 550.
 447  1984ARA&A..22..507M Margon                              
 448  1989ApJ...347..448M Margon & Anderson                   
 449  1977ApJ...216..811M Margon et al.                       
 450  1979ApJ...230L..41M Margon et al.                       
 451  1979ApJ...233L..63M Margon et al.                       
 452  1984ApJ...281..313M Margon et al.                       
 453  1977ApJ...218..801M Markert et al.                      
 454  1979ApJS...39..573M Markert et al.                      
 455  1977ApJ...218..801M Markert et al.                      
 456  1978ApJ...224..157M Markert et al.                      
 457  1998ApJ...502L.129M Marsden et al.                      
 458  1998IAUC.6818Q...1M Marshell & Lochner                  
 459  1980MNRAS.193p...7M Marshall & Ricketts                 
 460  1998IAUC.6904Q...1P Marshell & Takeshima                
 461  1997IAUC.6777Q...1Q Marshall et al.                     
 462  1998IAUC.6828Q...1S Marshell et al.                     
 463  1995A&A...298..151M Marti & Paredes                     
 463a 1998A&A...338L..71M Marti et al.                        
 464  1976ApJ...207...78M Mason et al.                        
 465  1978MNRAS.184p..45M Mason et al.                        
 466  1986ApJ...309..700M Mason et al.                        
 467  1993A&A...269..249M Massi et al.                        
 468  1986MNRAS.222..605M Matsuoka et al.                     
 469  1987ApJ...317..824M Mazeh et al.                        
 470  1984ApJ...282..245M McCray et al.                       
 471  1984ApJ...278..288M Meekins et al.                      
 472  1989MNRAS.239..733M Mendelson & Mazeh                   
 473  1991MNRAS.250..373M Mendelson & Mazeh                   
 474  1997A&AS..121..113M Mennickent & Sterken                
 475  1987ApJ...312..755M Mereghetti et al.                   
 476  1991ApJ...366L..23M Mereghetti et al.                   
 477  1992A&A...263..172M Mereghetti et al.                   
 478  1994ApJ...424..943M Mereghetti et al.                   
 479  1998MNRAS.296..689M Mereghetti et al.                   
 480  2000A&A...354..567M Mereghetti et al.                   
 481  1991ApJ...379L..61M Mihara et al.                       
 482  1974ApJ...194..459M Mikkelsen & Wallerstein             
 483  1997ApJ...477L..45M Mirabel et al.                      
 484  1998PASP..110..396M Misselt                             
 485  1984Ap&SS.103..345M Mitani et al.                       
